Time (HH:MM:SS),Spindle speed (RPM),Feed rate (mm/min),Depth of cut (mm),Cutting tool path x (mm),Cutting tool path y (mm)
00:00:00,2729,165.25,1.64,0.14,0.31
00:00:01,2032,161.28,3.42,0.32,0.69
00:00:02,1683,284.69,1.28,0.5,0.83
00:00:03,2283,564.77,2.33,0.75,1.19
00:00:04,1072,334.65,1.67,1.19,1.63
00:00:05,2333,582.03,2.13,1.49,2.06
00:00:06,1197,207.75,0.8,1.81,2.23
00:00:07,2212,132.41,4.99,1.98,2.65
00:00:08,2968,450.48,4.43,2.12,2.77
00:00:09,1035,456.05,4.91,2.56,3.19
00:00:10,1158,344.25,3.29,2.8,3.54
00:00:11,555,558.22,1.14,3.01,3.73
00:00:12,666,113.93,2.44,3.45,3.96
00:00:13,2897,208.06,4.8,3.88,4.1
00:00:14,1500,508.15,3.84,4.21,4.38
00:00:15,1922,282.23,2.44,4.35,4.81
00:00:16,1488,347.21,4.07,4.51,4.97
00:00:17,1111,580.21,0.57,4.72,5.43
00:00:18,1551,310.11,2.78,5.19,5.87
00:00:19,1259,199.81,4.21,5.56,6.18
00:00:20,1708,353.66,2.04,5.79,6.35
00:00:21,2762,396.49,4.12,6.05,6.77
00:00:22,569,545.6,4.12,6.48,7.22
00:00:23,1155,220.52,4.65,6.88,7.48
00:00:24,2713,580.35,2.12,7.36,7.91
00:00:25,2770,397.8,2.62,7.75,8.37
00:00:26,2239,579.06,4.04,8.13,8.8
00:00:27,1901,373.5,0.61,8.48,8.99
00:00:28,2507,157.81,4.56,8.77,9.2
00:00:29,622,436.06,4.28,9.14,9.54
00:00:30,877,387.55,4.68,9.31,9.86
00:00:31,1432,202.67,2.4,9.63,10.19
00:00:32,2710,581.65,3.35,9.92,10.54
00:00:33,1122,303.03,1.45,10.38,10.99
00:00:34,588,527.89,1.44,10.84,11.29
00:00:35,2059,397.28,4.76,11.14,11.4
00:00:36,2238,521.48,1.34,11.49,11.68
00:00:37,863,201.45,1.8,11.85,12.05
00:00:38,2889,319.08,2.38,12.04,12.49
00:00:39,1225,336.98,4.99,12.41,12.63
00:00:40,2461,219.44,4.01,12.77,12.99
00:00:41,2446,100.88,0.87,12.92,13.32
00:00:42,2059,433.59,0.73,13.35,13.58
00:00:43,3000,451.41,0.88,13.62,14.02
00:00:44,1928,390.55,2.03,13.95,14.25
00:00:45,2653,452.24,2.96,14.41,14.37
00:00:46,1038,206.05,3.32,14.62,14.7
00:00:47,774,106.36,0.64,14.75,14.82
00:00:48,1265,218.17,2.62,15.09,15.08
00:00:49,2232,323.17,3.28,15.45,15.22
